latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
24.892047,74.623527,70.0,334.0,208.0
24.892047,74.623527,23.0,118.0,65.0
24.892047,74.623527,3.0,132.0,28.0
28.296139,74.961696,5.0,10.0,7.0
28.296139,74.961696,24.0,64.0,50.0
26.895552,76.334753,34.0,102.0,76.0
26.699557,77.898881,19.0,86.0,44.0
26.699557,77.898881,6.0,24.0,12.0
25.344694,72.626208,24.0,157.0,66.0
25.344694,72.626208,3.0,13.0,7.0
24.588397,76.172782,40.0,62.0,52.0
28.108988,75.386577,92.0,320.0,174.0
28.108988,75.386577,24.0,57.0,48.0
26.268249,73.0193853,7.0,34.0,22.0
26.268249,73.0193853,6.0,56.0,23.0
26.9164092,75.7994901,16.0,79.0,49.0
26.960669,75.771817,15.0,139.0,68.0
28.194909,76.862296,4.0,36.0,18.0
28.207266,76.829265,29.0,188.0,81.0
28.207266,76.829265,1.0,7.0,3.0
28.207266,76.829265,37.0,125.0,93.0
28.018792,73.292658,20.0,106.0,58.0
25.771061,73.340227,81.0,304.0,203.0
25.771061,73.340227,24.0,97.0,42.0
25.03636,73.883502,61.0,195.0,108.0
25.03636,73.883502,9.0,101.0,30.0
25.03636,73.883502,7.0,156.0,66.0
25.16409,75.858137,119.0,356.0,205.0
25.196024,75.855668,21.0,91.0,47.0
25.196024,75.855668,4.0,10.0,7.0
25.14389,75.821256,4.0,9.0,6.0
11.0328,77.0349,4.0,6.0,5.0
10.942451,76.978996,1.0,8.0,4.0
11.6829898,79.7532099,1.0,1.0,1.0
11.7637683,79.7499835,62.0,245.0,98.0
11.7637683,79.7499835,4.0,22.0,12.0
11.7637683,79.7499835,1.0,3.0,2.0
13.4127,80.1081,71.0,308.0,140.0
10.96782,78.080882,16.0,78.0,49.0
9.36399,78.831977,5.0,6.0,5.0
10.7654824,79.1389968,28.0,55.0,40.0
10.7654824,79.1389968,1.0,1.0,1.0
11.0973603,77.3228673,65.0,155.0,95.0
11.0973603,77.3228673,11.0,18.0,13.0
11.0973603,77.3228673,2.0,115.0,11.0
17.540891,78.358528,7.0,42.0,26.0
27.33853,88.614099,8.0,47.0,25.0
27.33853,88.614099,1.0,1.0,1.0
13.0664,80.2112,8.0,18.0,11.0
13.0664,80.2112,2.0,7.0,3.0
13.218341,80.32027,22.0,22.0,22.0
13.218341,80.32027,6.0,21.0,13.0
13.1662,80.2584,1.0,2.0,2.0
24.885261,72.857549,63.0,222.0,115.0
24.885261,72.857549,16.0,155.0,68.0
29.931624,73.864511,1.0,131.0,29.0
26.159933,75.780517,147.0,356.0,243.0
24.5886166,73.6321397,97.0,201.0,142.0
10.96782,78.080882,13.0,16.0,15.0
10.96782,78.080882,6.0,10.0,8.0
11.258242,77.552761,2.0,5.0,3.0
10.423417,78.784889,55.0,82.0,67.0
13.1662,80.2584,42.0,64.0,51.0
13.1662,80.2584,15.0,45.0,20.0
12.9533,80.2357,5.0,35.0,9.0
13.1036,80.2909,4.0,7.0,6.0
13.1036,80.2909,46.0,60.0,51.0
13.0052189,80.2398125,29.0,98.0,37.0
17.5184,78.278777,6.0,105.0,42.0
17.5184,78.278777,27.0,71.0,48.0
17.5316895,78.218939,22.0,23.0,23.0
17.585705,78.126199,29.0,57.0,46.0
17.544899,78.486949,5.0,15.0,8.0
17.429398,78.569354,18.0,20.0,20.0
17.393559,78.339194,14.0,32.0,17.0
